price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,prefarea,furnishingstatus,total_building_area
6160000,5450,4,2,1,yes,no,yes,no,yes,yes,semi-furnished,5450
6125000,6420,3,1,3,yes,no,yes,no,no,yes,unfurnished,19260
6107500,3240,4,1,3,yes,no,no,no,no,no,semi-furnished,9720
6090000,6615,4,2,2,yes,yes,no,yes,no,no,semi-furnished,13230
6090000,6600,3,1,1,yes,yes,yes,no,no,yes,semi-furnished,6600
6090000,8372,3,1,3,yes,no,no,no,yes,no,unfurnished,25116
6083000,9620,3,1,1,yes,no,yes,no,no,yes,furnished,9620
6020000,6800,2,1,1,yes,yes,yes,no,no,no,furnished,6800
6020000,8000,3,1,1,yes,yes,yes,no,yes,yes,semi-furnished,8000
6020000,6900,3,2,1,yes,yes,yes,no,no,yes,unfurnished,6900
5950000,3700,4,1,2,yes,yes,no,no,yes,no,furnished,7400
5950000,6420,3,1,1,yes,no,yes,no,yes,yes,furnished,6420
5950000,7020,3,1,1,yes,no,yes,no,yes,yes,semi-furnished,7020
5950000,6540,3,1,1,yes,yes,yes,no,no,yes,furnished,6540
5950000,7231,3,1,2,yes,yes,yes,no,yes,yes,semi-furnished,14462
5950000,6254,4,2,1,yes,no,yes,no,no,yes,semi-furnished,6254
5950000,7320,4,2,2,yes,no,no,no,no,no,furnished,14640
5880000,7160,3,1,1,yes,no,yes,no,no,yes,unfurnished,7160
5880000,6500,3,2,3,yes,no,no,no,yes,no,unfurnished,19500
5873000,5500,3,1,3,yes,yes,no,no,yes,no,furnished,16500
5866000,4800,3,1,1,yes,yes,yes,no,no,no,unfurnished,4800
5810000,5200,3,1,3,yes,no,no,no,yes,no,semi-furnished,15600
5810000,4800,3,1,3,yes,no,no,no,yes,no,unfurnished,14400
5803000,7000,3,1,1,yes,no,yes,no,no,yes,semi-furnished,7000
5740000,5400,4,2,2,yes,no,no,no,yes,no,unfurnished,10800
5740000,4640,4,1,2,yes,no,no,no,no,no,semi-furnished,9280
5740000,5000,3,1,3,yes,no,no,no,yes,no,semi-furnished,15000
5740000,6360,3,1,1,yes,yes,yes,no,yes,yes,furnished,6360
5652500,6660,4,2,2,yes,yes,yes,no,no,yes,semi-furnished,13320
5600000,4700,4,1,2,yes,yes,yes,no,yes,no,furnished,9400
5600000,5500,3,2,2,yes,no,no,no,no,no,semi-furnished,11000
5600000,6360,3,1,3,yes,no,no,no,no,yes,semi-furnished,19080
5600000,6600,4,2,1,yes,no,yes,no,no,yes,semi-furnished,6600
5600000,5136,3,1,2,yes,yes,yes,no,yes,yes,unfurnished,10272
5565000,4400,4,1,2,yes,no,no,no,yes,yes,semi-furnished,8800
5530000,3300,3,3,2,yes,no,yes,no,no,no,semi-furnished,6600
5530000,3650,3,2,2,yes,no,no,no,no,no,semi-furnished,7300
5530000,6100,3,2,1,yes,no,yes,no,no,yes,furnished,6100
5523000,6900,3,1,1,yes,yes,yes,no,no,yes,semi-furnished,6900
5495000,2817,4,2,2,no,yes,yes,no,no,no,furnished,5634
5495000,7980,3,1,1,yes,no,no,no,no,no,semi-furnished,7980
5460000,3150,3,2,1,yes,yes,yes,no,yes,no,furnished,3150
5460000,6100,3,1,3,yes,yes,no,no,yes,yes,semi-furnished,18300
5460000,6600,4,2,2,yes,yes,yes,no,no,yes,semi-furnished,13200
5425000,6825,3,1,1,yes,yes,yes,no,yes,yes,semi-furnished,6825
5390000,6710,3,2,2,yes,yes,yes,no,no,yes,furnished,13420
5383000,6450,3,2,1,yes,yes,yes,yes,no,no,unfurnished,6450
5320000,7800,3,1,1,yes,no,yes,no,yes,yes,unfurnished,7800
5285000,4600,2,2,1,yes,no,no,no,yes,no,semi-furnished,4600
5250000,4260,4,1,2,yes,no,yes,no,yes,no,furnished,8520
5250000,6540,4,2,2,no,no,no,no,yes,no,semi-furnished,13080
5250000,5500,3,2,1,yes,no,yes,no,no,no,semi-furnished,5500
5250000,8400,3,1,2,yes,yes,yes,no,yes,yes,unfurnished,16800
5250000,5300,4,2,1,yes,no,no,no,yes,yes,unfurnished,5300
5250000,3800,3,1,2,yes,yes,yes,no,no,yes,unfurnished,7600
5250000,9800,4,2,2,yes,yes,no,no,no,no,semi-furnished,19600
5250000,8520,3,1,1,yes,no,no,no,yes,no,furnished,8520
5243000,6050,3,1,1,yes,no,yes,no,no,yes,semi-furnished,6050
5229000,7085,3,1,1,yes,yes,yes,no,no,yes,semi-furnished,7085
5215000,3180,3,2,2,yes,no,no,no,no,no,semi-furnished,6360
5215000,4500,4,2,1,no,no,yes,no,yes,no,semi-furnished,4500
5215000,7200,3,1,2,yes,yes,yes,no,no,yes,furnished,14400
5145000,3410,3,1,2,no,no,no,no,yes,no,semi-furnished,6820
5145000,7980,3,1,1,yes,no,no,no,no,yes,semi-furnished,7980
5110000,3000,3,2,2,yes,yes,yes,no,no,no,furnished,6000
5110000,3000,3,1,2,yes,no,yes,no,no,no,unfurnished,6000
5110000,6100,3,1,1,yes,no,yes,no,yes,yes,semi-furnished,6100
5075000,5720,2,1,2,yes,no,no,no,yes,yes,unfurnished,11440
5040000,3540,2,1,1,no,yes,yes,no,no,no,semi-furnished,3540
5040000,7600,4,1,2,yes,no,no,no,yes,no,furnished,15200
5040000,6600,3,1,1,yes,yes,yes,no,no,yes,furnished,6600
5033000,4800,2,1,1,yes,yes,yes,no,no,no,semi-furnished,4800
5005000,8150,3,2,1,yes,yes,yes,no,no,no,semi-furnished,8150
4970000,4410,4,3,2,yes,no,yes,no,no,no,semi-furnished,8820
4970000,7686,3,1,1,yes,yes,yes,yes,no,no,semi-furnished,7686
4956000,2800,3,2,2,no,no,yes,no,yes,no,semi-furnished,5600
4935000,5948,3,1,2,yes,no,no,no,yes,no,semi-furnished,11896
4907000,4200,3,1,2,yes,no,no,no,no,no,furnished,8400
4900000,4520,3,1,2,yes,no,yes,no,yes,no,semi-furnished,9040
4900000,4095,3,1,2,no,yes,yes,no,yes,no,semi-furnished,8190
4900000,4120,2,1,1,yes,no,yes,no,no,no,semi-furnished,4120
4900000,5400,4,1,2,yes,no,no,no,no,no,semi-furnished,10800
4900000,4770,3,1,1,yes,yes,yes,no,no,no,semi-furnished,4770
4900000,6300,3,1,1,yes,no,no,no,yes,no,semi-furnished,6300
4900000,5800,2,1,1,yes,yes,yes,no,yes,no,semi-furnished,5800
4900000,3000,3,1,2,yes,no,yes,no,yes,no,semi-furnished,6000
4900000,2970,3,1,3,yes,no,no,no,no,no,semi-furnished,8910
4900000,6720,3,1,1,yes,no,no,no,no,no,unfurnished,6720
4900000,4646,3,1,2,yes,yes,yes,no,no,no,semi-furnished,9292
4893000,3420,4,2,2,yes,no,yes,no,yes,no,semi-furnished,6840
4893000,4995,4,2,1,yes,no,yes,no,no,no,semi-furnished,4995
4865000,4350,2,1,1,yes,no,yes,no,no,no,unfurnished,4350
4830000,4160,3,1,3,yes,no,no,no,no,no,unfurnished,12480
4830000,6040,3,1,1,yes,no,no,no,no,yes,semi-furnished,6040
4830000,6862,3,1,2,yes,no,no,no,yes,yes,furnished,13724
4830000,4815,2,1,1,yes,no,no,no,yes,yes,semi-furnished,4815
4795000,7000,3,1,2,yes,no,yes,no,no,no,unfurnished,14000
4767000,3420,4,2,2,yes,no,no,no,no,no,semi-furnished,6840
4760000,9166,2,1,1,yes,no,yes,no,yes,no,semi-furnished,9166
4760000,6321,3,1,2,yes,no,yes,no,yes,no,furnished,12642
4690000,6000,2,1,1,yes,no,yes,no,yes,no,furnished,6000
4690000,3630,3,1,2,yes,no,no,no,no,no,semi-furnished,7260
4690000,9667,4,2,2,yes,yes,yes,no,no,no,semi-furnished,19334
4690000,5400,2,1,2,yes,no,no,no,no,yes,semi-furnished,10800
4690000,4320,3,1,1,yes,no,no,no,no,yes,semi-furnished,4320
4655000,3745,3,1,2,yes,no,yes,no,no,no,furnished,7490
4620000,4160,3,1,1,yes,yes,yes,no,yes,no,unfurnished,4160
4620000,3880,3,2,2,yes,no,yes,no,no,no,semi-furnished,7760
4620000,5680,3,1,2,yes,yes,no,no,yes,no,semi-furnished,11360
4620000,2870,2,1,2,yes,yes,yes,no,no,yes,semi-furnished,5740
4620000,5010,3,1,2,yes,no,yes,no,no,no,semi-furnished,10020
4613000,4510,4,2,2,yes,no,yes,no,no,no,semi-furnished,9020
4585000,4000,3,1,2,yes,no,no,no,no,no,furnished,8000
4585000,3840,3,1,2,yes,no,no,no,no,yes,semi-furnished,7680
4550000,3760,3,1,1,yes,no,no,no,no,no,semi-furnished,3760
4550000,3640,3,1,2,yes,no,no,no,yes,no,furnished,7280
4550000,2550,3,1,2,yes,no,yes,no,no,no,furnished,5100
4550000,5320,3,1,2,yes,yes,yes,no,no,yes,semi-furnished,10640
4550000,5360,3,1,2,yes,no,no,no,no,yes,unfurnished,10720
4550000,3520,3,1,1,yes,no,no,no,no,yes,semi-furnished,3520
4543000,4100,2,2,1,yes,yes,yes,no,no,no,semi-furnished,4100
4543000,4990,4,2,2,yes,yes,yes,no,no,yes,furnished,9980
4515000,3510,3,1,3,yes,no,no,no,no,no,semi-furnished,10530
4515000,3450,3,1,2,yes,no,yes,no,no,no,semi-furnished,6900
4515000,3520,2,1,2,yes,no,no,no,no,yes,furnished,7040
4480000,4510,4,1,2,yes,no,no,no,yes,no,semi-furnished,9020
4480000,5885,2,1,1,yes,no,no,no,yes,no,unfurnished,5885
4480000,4000,3,1,2,yes,no,no,no,no,no,furnished,8000
4480000,8250,3,1,1,yes,no,no,no,no,no,furnished,8250
4480000,4040,3,1,2,yes,no,no,no,no,no,semi-furnished,8080
4473000,6360,2,1,1,yes,no,yes,no,yes,no,furnished,6360
4473000,3162,3,1,2,yes,no,no,no,yes,no,furnished,6324
4473000,3510,3,1,2,yes,no,no,no,no,no,semi-furnished,7020
4445000,3750,2,1,1,yes,yes,yes,no,no,no,semi-furnished,3750
4410000,3968,3,1,2,no,no,no,no,no,no,semi-furnished,7936
4410000,4900,2,1,2,yes,no,yes,no,no,no,semi-furnished,9800
4403000,2880,3,1,2,yes,no,no,no,no,yes,semi-furnished,5760
4403000,4880,3,1,1,yes,no,no,no,no,yes,unfurnished,4880
4403000,4920,3,1,2,yes,no,no,no,no,no,semi-furnished,9840
4382000,4950,4,1,2,yes,no,no,no,yes,no,semi-furnished,9900
4375000,3900,3,1,2,yes,no,no,no,no,no,unfurnished,7800
4340000,4500,3,2,3,yes,no,no,yes,no,no,furnished,13500
4340000,4075,3,1,1,yes,yes,yes,no,no,no,semi-furnished,4075
4340000,3500,4,1,2,yes,no,no,no,no,no,furnished,7000
4340000,6450,4,1,2,yes,no,no,no,no,no,semi-furnished,12900
4319000,4032,2,1,1,yes,no,yes,no,no,no,furnished,4032
4305000,4400,2,1,1,yes,no,no,no,no,no,semi-furnished,4400
4277000,3400,3,1,2,yes,no,yes,no,no,yes,semi-furnished,6800
4270000,6360,2,1,1,yes,no,no,no,no,no,furnished,6360
4270000,6360,2,1,2,yes,no,no,no,no,no,unfurnished,12720
4270000,4500,2,1,1,yes,no,no,no,yes,no,furnished,4500
4270000,2175,3,1,2,no,yes,yes,no,yes,no,unfurnished,4350
4270000,4360,4,1,2,yes,no,no,no,no,no,furnished,8720
4270000,7770,2,1,1,yes,no,no,no,no,no,furnished,7770
4235000,6650,3,1,2,yes,yes,no,no,no,no,semi-furnished,13300
4235000,2787,3,1,1,yes,no,yes,no,no,yes,furnished,2787
4200000,5500,3,1,2,yes,no,no,no,yes,no,unfurnished,11000
4200000,5040,3,1,2,yes,no,yes,no,yes,no,unfurnished,10080
4200000,5850,2,1,1,yes,yes,yes,no,no,no,semi-furnished,5850
4200000,2610,4,3,2,no,no,no,no,no,no,semi-furnished,5220
4200000,2953,3,1,2,yes,no,yes,no,yes,no,unfurnished,5906
4200000,2747,4,2,2,no,no,no,no,no,no,semi-furnished,5494
4200000,4410,2,1,1,no,no,no,no,no,no,unfurnished,4410
4200000,4000,4,2,2,no,no,no,no,no,no,semi-furnished,8000
4200000,2325,3,1,2,no,no,no,no,no,no,semi-furnished,4650
4200000,4600,3,2,2,yes,no,no,no,yes,no,semi-furnished,9200
4200000,3640,3,2,2,yes,no,yes,no,no,no,unfurnished,7280
4200000,5800,3,1,1,yes,no,no,yes,no,no,semi-furnished,5800
4200000,4079,3,1,3,yes,no,no,no,no,no,semi-furnished,12237
4200000,3520,3,1,2,yes,no,no,no,no,yes,semi-furnished,7040
4200000,2145,3,1,3,yes,no,no,no,no,yes,unfurnished,6435
4200000,4500,3,1,1,yes,no,yes,no,no,no,furnished,4500
4193000,3450,3,1,2,yes,no,no,no,no,no,semi-furnished,6900
4165000,4840,3,1,2,yes,no,no,no,no,no,semi-furnished,9680
4165000,4080,3,1,2,yes,no,no,no,no,no,semi-furnished,8160
4165000,4046,3,1,2,yes,no,yes,no,no,no,semi-furnished,8092
4130000,4632,4,1,2,yes,no,no,no,yes,no,semi-furnished,9264
4130000,5985,3,1,1,yes,no,yes,no,no,no,semi-furnished,5985
4123000,6060,2,1,1,yes,no,yes,no,no,no,semi-furnished,6060
4098500,3600,3,1,1,yes,no,yes,no,yes,yes,furnished,3600
4095000,3680,3,2,2,yes,no,no,no,no,no,semi-furnished,7360
4095000,4040,2,1,2,yes,no,no,no,no,no,semi-furnished,8080
4095000,5600,2,1,1,yes,no,no,no,yes,no,semi-furnished,5600
4060000,5900,4,2,2,no,no,yes,no,no,no,unfurnished,11800
4060000,4992,3,2,2,yes,no,no,no,no,no,unfurnished,9984
4060000,4340,3,1,1,yes,no,no,no,no,no,semi-furnished,4340
4060000,3000,4,1,3,yes,no,yes,no,yes,no,semi-furnished,9000
4060000,4320,3,1,2,yes,no,no,no,no,yes,furnished,8640
4025000,3630,3,2,2,yes,no,no,yes,no,no,semi-furnished,7260
4025000,3460,3,2,1,yes,no,yes,no,yes,no,furnished,3460
4007500,4500,3,1,2,no,no,yes,no,yes,no,semi-furnished,9000
4007500,3460,4,1,2,yes,no,no,no,yes,no,semi-furnished,6920
3990000,4100,4,1,1,no,no,yes,no,no,no,unfurnished,4100
3990000,6480,3,1,2,no,no,no,no,yes,no,semi-furnished,12960
3990000,4500,3,2,2,no,no,yes,no,yes,no,semi-furnished,9000
3990000,3960,3,1,2,yes,no,no,no,no,no,furnished,7920
3990000,4050,2,1,2,yes,yes,yes,no,no,yes,unfurnished,8100
3920000,5500,4,1,2,yes,yes,yes,no,no,no,semi-furnished,11000
3920000,3000,3,1,2,yes,no,no,no,no,no,semi-furnished,6000
3920000,3290,2,1,1,yes,no,no,yes,no,no,furnished,3290
3920000,3816,2,1,1,yes,no,yes,no,yes,no,furnished,3816
3920000,8080,3,1,1,yes,no,no,no,yes,no,semi-furnished,8080
3920000,2145,4,2,1,yes,no,yes,no,no,yes,unfurnished,2145
3885000,3780,2,1,2,yes,yes,yes,no,no,no,semi-furnished,7560
3885000,3180,4,2,2,yes,no,no,no,no,no,furnished,6360
3850000,3180,2,2,1,yes,no,yes,no,no,no,semi-furnished,3180
3850000,7152,3,1,2,yes,no,no,no,yes,no,furnished,14304
3850000,4080,2,1,1,yes,no,no,no,no,no,semi-furnished,4080
3850000,3850,2,1,1,yes,no,no,no,no,no,semi-furnished,3850
3850000,2015,3,1,2,yes,no,yes,no,no,yes,semi-furnished,4030
3850000,2176,2,1,2,yes,yes,no,no,no,yes,semi-furnished,4352
3836000,3350,3,1,2,yes,no,no,no,no,no,unfurnished,6700
3815000,3150,2,2,1,no,no,yes,no,no,no,semi-furnished,3150
3780000,4820,3,1,2,yes,no,no,no,no,no,semi-furnished,9640
3780000,3420,2,1,2,yes,no,no,yes,no,no,semi-furnished,6840
3780000,3600,2,1,1,yes,no,no,no,no,no,semi-furnished,3600
3780000,5830,2,1,1,yes,no,no,no,no,no,unfurnished,5830
3780000,2856,3,1,3,yes,no,no,no,no,yes,furnished,8568
3780000,8400,2,1,1,yes,no,no,no,no,no,furnished,8400
3773000,8250,3,1,1,yes,no,no,no,no,no,furnished,8250
3773000,6930,4,1,2,no,no,no,no,no,no,furnished,13860
3745000,3480,2,1,1,yes,no,no,no,no,yes,semi-furnished,3480
3710000,3600,3,1,1,yes,no,no,no,no,no,unfurnished,3600
3710000,4040,2,1,1,yes,no,no,no,no,no,semi-furnished,4040
3710000,6020,3,1,1,yes,no,no,no,no,no,semi-furnished,6020
3710000,4050,2,1,1,yes,no,no,no,no,no,furnished,4050
3710000,3584,2,1,1,yes,no,no,yes,no,no,semi-furnished,3584
3703000,3120,3,1,2,no,no,yes,yes,no,no,semi-furnished,6240
3703000,5450,2,1,1,yes,no,no,no,no,no,furnished,5450
3675000,3630,2,1,1,yes,no,yes,no,no,no,furnished,3630
3675000,3630,2,1,1,yes,no,no,no,yes,no,unfurnished,3630
3675000,5640,2,1,1,no,no,no,no,no,no,semi-furnished,5640
3675000,3600,2,1,1,yes,no,no,no,no,no,furnished,3600
3640000,4280,2,1,1,yes,no,no,no,yes,no,semi-furnished,4280
3640000,3570,3,1,2,yes,no,yes,no,no,no,semi-furnished,7140
3640000,3180,3,1,2,no,no,yes,no,no,no,semi-furnished,6360
3640000,3000,2,1,2,yes,no,no,no,yes,no,furnished,6000
3640000,3520,2,2,1,yes,no,yes,no,no,no,semi-furnished,3520
3640000,5960,3,1,2,yes,yes,yes,no,no,no,unfurnished,11920
3640000,4130,3,2,2,yes,no,no,no,no,no,semi-furnished,8260
3640000,2850,3,2,2,no,no,yes,no,no,yes,unfurnished,5700
3640000,2275,3,1,3,yes,no,no,yes,yes,yes,semi-furnished,6825
3633000,3520,3,1,1,yes,no,no,no,no,yes,unfurnished,3520
3605000,4500,2,1,1,yes,no,no,no,no,no,semi-furnished,4500
3605000,4000,2,1,1,yes,no,no,no,no,yes,semi-furnished,4000
3570000,3150,3,1,2,yes,no,yes,no,no,no,furnished,6300
3570000,4500,4,2,2,yes,no,yes,no,no,no,furnished,9000
3570000,4500,2,1,1,no,no,no,no,no,no,furnished,4500
3570000,3640,2,1,1,yes,no,no,no,no,no,unfurnished,3640
3535000,3850,3,1,1,yes,no,no,no,no,no,unfurnished,3850
3500000,4240,3,1,2,yes,no,no,no,yes,no,semi-furnished,8480
3500000,3650,3,1,2,yes,no,no,no,no,no,unfurnished,7300
3500000,4600,4,1,2,yes,no,no,no,no,no,semi-furnished,9200
3500000,2135,3,2,2,no,no,no,no,no,no,unfurnished,4270
3500000,3036,3,1,2,yes,no,yes,no,no,no,semi-furnished,6072
3500000,3990,3,1,2,yes,no,no,no,no,no,semi-furnished,7980
3500000,7424,3,1,1,no,no,no,no,no,no,unfurnished,7424
3500000,3480,3,1,1,no,no,no,no,yes,no,unfurnished,3480
3500000,3640,2,1,1,yes,no,no,no,no,no,semi-furnished,3640
3500000,5900,2,1,1,yes,no,no,no,no,no,furnished,5900
3500000,3120,3,1,2,yes,no,no,no,no,no,unfurnished,6240
3500000,7350,2,1,1,yes,no,no,no,no,no,semi-furnished,7350
3500000,3512,2,1,1,yes,no,no,no,no,yes,unfurnished,3512
3500000,5880,2,1,1,yes,no,no,no,no,no,unfurnished,5880
3493000,4900,3,1,2,no,no,no,no,no,no,unfurnished,9800
3465000,3060,3,1,1,yes,no,no,no,no,no,unfurnished,3060
3465000,5320,2,1,1,yes,no,no,no,no,yes,unfurnished,5320
3465000,2145,3,1,3,yes,no,no,no,no,yes,furnished,6435
3430000,4000,2,1,1,yes,no,no,no,no,no,unfurnished,4000
3430000,3185,2,1,1,yes,no,no,no,no,no,unfurnished,3185
3430000,3850,3,1,1,yes,no,no,no,no,no,unfurnished,3850
3430000,2145,3,1,3,yes,no,no,no,no,yes,furnished,6435
3430000,2610,3,1,2,yes,no,yes,no,no,yes,unfurnished,5220
3430000,1950,3,2,2,yes,no,yes,no,no,yes,unfurnished,3900
3423000,4040,2,1,1,yes,no,no,no,no,no,unfurnished,4040
3395000,4785,3,1,2,yes,yes,yes,no,yes,no,furnished,9570
3395000,3450,3,1,1,yes,no,yes,no,no,no,unfurnished,3450
3395000,3640,2,1,1,yes,no,no,no,no,no,furnished,3640
3360000,3500,4,1,2,yes,no,no,no,yes,no,unfurnished,7000
3360000,4960,4,1,3,no,no,no,no,no,no,semi-furnished,14880
3360000,4120,2,1,2,yes,no,no,no,no,no,unfurnished,8240
3360000,4750,2,1,1,yes,no,no,no,no,no,unfurnished,4750
3360000,3720,2,1,1,no,no,no,no,yes,no,unfurnished,3720
3360000,3750,3,1,1,yes,no,no,no,no,no,unfurnished,3750
3360000,3100,3,1,2,no,no,yes,no,no,no,semi-furnished,6200
3360000,3185,2,1,1,yes,no,yes,no,no,no,furnished,3185
3353000,2700,3,1,1,no,no,no,no,no,no,furnished,2700
3332000,2145,3,1,2,yes,no,yes,no,no,yes,furnished,4290
3325000,4040,2,1,1,yes,no,no,no,no,no,unfurnished,4040
3325000,4775,4,1,2,yes,no,no,no,no,no,unfurnished,9550
3290000,2500,2,1,1,no,no,no,no,yes,no,unfurnished,2500
3290000,3180,4,1,2,yes,no,yes,no,yes,no,unfurnished,6360
3290000,6060,3,1,1,yes,yes,yes,no,no,no,furnished,6060
3290000,3480,4,1,2,no,no,no,no,no,no,semi-furnished,6960
3290000,3792,4,1,2,yes,no,no,no,no,no,semi-furnished,7584
3290000,4040,2,1,1,yes,no,no,no,no,no,unfurnished,4040
3290000,2145,3,1,2,yes,no,yes,no,no,yes,furnished,4290
3290000,5880,3,1,1,yes,no,no,no,no,no,unfurnished,5880
3255000,4500,2,1,1,no,no,no,no,no,no,semi-furnished,4500
3255000,3930,2,1,1,no,no,no,no,no,no,unfurnished,3930
3234000,3640,4,1,2,yes,no,yes,no,no,no,unfurnished,7280
3220000,4370,3,1,2,yes,no,no,no,no,no,unfurnished,8740
3220000,2684,2,1,1,yes,no,no,no,yes,no,unfurnished,2684
3220000,4320,3,1,1,no,no,no,no,no,no,unfurnished,4320
3220000,3120,3,1,2,no,no,no,no,no,no,furnished,6240
3150000,3450,1,1,1,yes,no,no,no,no,no,furnished,3450
3150000,3986,2,2,1,no,yes,yes,no,no,no,unfurnished,3986
3150000,3500,2,1,1,no,no,yes,no,no,no,semi-furnished,3500
3150000,4095,2,1,1,yes,no,no,no,no,no,semi-furnished,4095
3150000,1650,3,1,2,no,no,yes,no,no,no,unfurnished,3300
3150000,3450,3,1,2,yes,no,yes,no,no,no,semi-furnished,6900
3150000,6750,2,1,1,yes,no,no,no,no,no,semi-furnished,6750
3150000,9000,3,1,2,yes,no,no,no,no,no,semi-furnished,18000
3150000,3069,2,1,1,yes,no,no,no,no,no,unfurnished,3069
3143000,4500,3,1,2,yes,no,no,no,yes,no,unfurnished,9000
3129000,5495,3,1,1,yes,no,yes,no,no,no,unfurnished,5495
3118850,2398,3,1,1,yes,no,no,no,no,yes,semi-furnished,2398
3115000,3000,3,1,1,no,no,no,no,yes,no,unfurnished,3000
3115000,3850,3,1,2,yes,no,no,no,no,no,unfurnished,7700
3115000,3500,2,1,1,yes,no,no,no,no,no,unfurnished,3500
3087000,8100,2,1,1,yes,no,no,no,no,no,unfurnished,8100
3080000,4960,2,1,1,yes,no,yes,no,yes,no,unfurnished,4960
3080000,2160,3,1,2,no,no,yes,no,no,no,semi-furnished,4320
3080000,3090,2,1,1,yes,yes,yes,no,no,no,unfurnished,3090
3080000,4500,2,1,2,yes,no,no,yes,no,no,semi-furnished,9000
3045000,3800,2,1,1,yes,no,no,no,no,no,unfurnished,3800
3010000,3090,3,1,2,no,no,no,no,no,no,semi-furnished,6180
3010000,3240,3,1,2,yes,no,no,no,no,no,semi-furnished,6480
3010000,2835,2,1,1,yes,no,no,no,no,no,semi-furnished,2835
3010000,4600,2,1,1,yes,no,no,no,no,no,furnished,4600
3010000,5076,3,1,1,no,no,no,no,no,no,unfurnished,5076
3010000,3750,3,1,2,yes,no,no,no,no,no,unfurnished,7500
3003000,8050,2,1,1,yes,no,no,no,no,no,unfurnished,8050
2975000,4352,4,1,2,no,no,no,no,no,no,unfurnished,8704
2961000,3000,2,1,2,yes,no,no,no,no,no,semi-furnished,6000
2940000,5850,3,1,2,yes,no,yes,no,no,no,unfurnished,11700
2940000,4960,2,1,1,yes,no,no,no,no,no,unfurnished,4960
2940000,3600,3,1,2,no,no,no,no,no,no,unfurnished,7200
2940000,3660,4,1,2,no,no,no,no,no,no,unfurnished,7320
2940000,3480,3,1,2,no,no,no,no,no,no,semi-furnished,6960
2940000,2700,2,1,1,no,no,no,no,no,no,furnished,2700
2940000,3150,3,1,2,no,no,no,no,no,no,unfurnished,6300
2940000,6615,3,1,2,yes,no,no,no,no,no,semi-furnished,13230
2870000,3040,2,1,1,no,no,no,no,no,no,unfurnished,3040
2870000,3630,2,1,1,yes,no,no,no,no,no,unfurnished,3630
2870000,6000,2,1,1,yes,no,no,no,no,no,semi-furnished,6000
